Document Name: P4b_qPCR1 
Plate Type: Absolute Quantification
User: user

Document Information

Operator: Kishor
Run Date: Wednesday, October 14, 2020 13:39:32
Last Modified: Wednesday, October 14, 2020 15:23:26
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
P4b_qPCR

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,LM0352,Eimeria,Unknown,18.22,0.527,,,,,73.70
A2,LM0352,Eimeria,Unknown,18.25,0.527,,,,,73.70
A3,LM0352,Eimeria,Unknown,18.05,0.527,,,,,73.70
A4,LM0352,Mus,Unknown,21.76,0.718,,,,,78.90
A5,LM0352,Mus,Unknown,21.71,0.718,,,,,78.90
A6,LM0352,Mus,Unknown,21.58,0.718,,,,,79.10
A7,LM0353,Eimeria,Unknown,19.24,0.427,,,,,73.70
A8,LM0353,Eimeria,Unknown,19.52,0.427,,,,,73.40
A9,LM0353,Eimeria,Unknown,20.08,0.427,,,,,73.20
A10,LM0353,Mus,Unknown,20.48,2.615,,,,,78.60
A11,LM0353,Mus,Unknown,25.47,2.615,,,,,74.70
A12,LM0353,Mus,Unknown,21.62,2.615,,,,,78.40
B1,LM0354,Eimeria,Unknown,31.14,0.165,,,,,73.90
B2,LM0354,Eimeria,Unknown,31.22,0.165,,,,,74.20
B3,LM0354,Eimeria,Unknown,30.90,0.165,,,,,74.20
B4,LM0354,Mus,Unknown,22.57,0.110,,,,,79.10
B5,LM0354,Mus,Unknown,22.78,0.110,,,,,79.10
B6,LM0354,Mus,Unknown,22.60,0.110,,,,,79.10
B7,LM0355,Eimeria,Unknown,Undetermined,,,,,,74.70
B8,LM0355,Eimeria,Unknown,31.90,0.149,,,,,74.40
B9,LM0355,Eimeria,Unknown,32.11,0.149,,,,,78.10
B10,LM0355,Mus,Unknown,23.90,5.840,,,,,78.90
B11,LM0355,Mus,Unknown,21.58,5.840,,,,,78.60
B12,LM0355,Mus,Unknown,32.65,5.840,,,,,78.40
C1,LM0356,Eimeria,Unknown,30.11,0.441,,,,,73.90
C2,LM0356,Eimeria,Unknown,30.44,0.441,,,,,73.90
C3,LM0356,Eimeria,Unknown,29.57,0.441,,,,,74.20
C4,LM0356,Mus,Unknown,22.15,0.247,,,,,79.40
C5,LM0356,Mus,Unknown,21.66,0.247,,,,,79.40
C6,LM0356,Mus,Unknown,21.81,0.247,,,,,79.40
C7,LM0357,Eimeria,Unknown,30.40,0.595,,,,,74.20
C8,LM0357,Eimeria,Unknown,29.82,0.595,,,,,74.20
C9,LM0357,Eimeria,Unknown,29.21,0.595,,,,,74.20
C10,LM0357,Mus,Unknown,22.94,2.397,,,,,79.10
C11,LM0357,Mus,Unknown,23.63,2.397,,,,,78.90
C12,LM0357,Mus,Unknown,27.40,2.397,,,,,73.20
D1,LM0358,Eimeria,Unknown,29.32,0.309,,,,,74.20
D2,LM0358,Eimeria,Unknown,28.73,0.309,,,,,74.70
D3,LM0358,Eimeria,Unknown,29.18,0.309,,,,,74.70
D4,LM0358,Mus,Unknown,23.00,0.047,,,,,79.60
D5,LM0358,Mus,Unknown,23.09,0.047,,,,,79.40
D6,LM0358,Mus,Unknown,23.01,0.047,,,,,79.40
D7,LM0359,Eimeria,Unknown,32.28,0.736,,,,,74.20
D8,LM0359,Eimeria,Unknown,30.83,0.736,,,,,74.40
D9,LM0359,Eimeria,Unknown,31.32,0.736,,,,,74.20
D10,LM0359,Mus,Unknown,22.68,0.552,,,,,79.10
D11,LM0359,Mus,Unknown,21.75,0.552,,,,,79.10
D12,LM0359,Mus,Unknown,22.74,0.552,,,,,78.90
E1,LM0361,Eimeria,Unknown,28.24,0.640,,,,,74.20
E2,LM0361,Eimeria,Unknown,29.09,0.640,,,,,74.70
E3,LM0361,Eimeria,Unknown,29.49,0.640,,,,,75.20
E4,LM0361,Mus,Unknown,23.62,0.164,,,,,79.40
E5,LM0361,Mus,Unknown,23.30,0.164,,,,,79.60
E6,LM0361,Mus,Unknown,23.40,0.164,,,,,79.40
E7,LM0363,Eimeria,Unknown,31.01,0.197,,,,,74.20
E8,LM0363,Eimeria,Unknown,31.39,0.197,,,,,78.40
E9,LM0363,Eimeria,Unknown,31.13,0.197,,,,,82.70
E10,LM0363,Mus,Unknown,21.20,0.526,,,,,79.10
E11,LM0363,Mus,Unknown,21.71,0.526,,,,,79.10
E12,LM0363,Mus,Unknown,22.25,0.526,,,,,78.60
F1,LM0364,Eimeria,Unknown,19.03,0.530,,,,,73.90
F2,LM0364,Eimeria,Unknown,20.08,0.530,,,,,74.20
F3,LM0364,Eimeria,Unknown,19.66,0.530,,,,,74.20
F4,LM0364,Mus,Unknown,22.91,0.369,,,,,79.40
F5,LM0364,Mus,Unknown,22.46,0.369,,,,,79.60
F6,LM0364,Mus,Unknown,22.18,0.369,,,,,79.40
F7,LM0365,Eimeria,Unknown,20.66,0.784,,,,,74.20
F8,LM0365,Eimeria,Unknown,21.72,0.784,,,,,74.20
F9,LM0365,Eimeria,Unknown,22.19,0.784,,,,,74.20
F10,LM0365,Mus,Unknown,22.53,0.268,,,,,78.90
F11,LM0365,Mus,Unknown,22.05,0.268,,,,,78.90
F12,LM0365,Mus,Unknown,22.50,0.268,,,,,78.60
G1,LM0367,Eimeria,Unknown,30.07,0.749,,,,,73.90
G2,LM0367,Eimeria,Unknown,31.34,0.749,,,,,73.70
G3,LM0367,Eimeria,Unknown,30.03,0.749,,,,,74.40
G4,LM0367,Mus,Unknown,22.59,0.261,,,,,79.40
G5,LM0367,Mus,Unknown,22.59,0.261,,,,,79.40
G6,LM0367,Mus,Unknown,23.04,0.261,,,,,79.10
G7,LM0352,Eimeria,Unknown,18.66,0.527,,,,,73.90
G8,LM0352,Eimeria,Unknown,18.25,0.527,,,,,73.90
G9,LM0352,Eimeria,Unknown,19.48,0.527,,,,,73.90
G10,LM0352,Mus,Unknown,23.13,0.718,,,,,78.60
G11,LM0352,Mus,Unknown,20.94,0.718,,,,,78.90
G12,LM0352,Mus,Unknown,21.97,0.718,,,,,78.60
H1,NTC,Eimeria,Unknown,32.19,2.378,,,,,78.10
H2,NTC,Eimeria,Unknown,Undetermined,,,,,,73.00
H3,NTC,Eimeria,Unknown,34.40,2.378,,,,,74.20
H4,NTC,Mus,Unknown,32.61,13.707,,,,,74.90
H5,NTC,Mus,Unknown,31.41,13.707,,,,,77.10
H6,NTC,Mus,Unknown,34.21,13.707,,,,,77.10
H7,NTC,Eimeria,Unknown,36.94,2.378,,,,,77.60
H8,NTC,Eimeria,Unknown,Undetermined,,,,,,75.20
H9,NTC,Eimeria,Unknown,Undetermined,,,,,,87.20
H10,NTC,Mus,Unknown,13.71,13.707,,,,,75.20
H11,NTC,Mus,Unknown,11.42,13.707,,,,,74.70
H12,NTC,Mus,Unknown,1.58,13.707,,,,,77.60
